_id,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
14,Gäste,Ausland,2025,2025 Jan,215584,192505,-38.24,11.99,324764
15,Gäste,Ausland,2025,2025 Feb,207535,213717,-3.73,-2.89,324249
16,Gäste,Ausland,2025,2025 Mär,233353,250597,12.44,-6.88,322812
17,Gäste,Ausland,2025,2025 Apr,296855,278097,27.21,6.75,324375
18,Gäste,Ausland,2025,2025 Mai,335905,305862,13.15,9.82,326878
19,Gäste,Ausland,2025,2025 Jun,327442,363753,-2.52,-9.98,323852
20,Gäste,Ausland,2025,2025 Jul,406048,413428,24.01,-1.79,323237
21,Gäste,Ausland,2025,2025 Aug,388973,487126,-4.21,-20.15,315058
22,Gäste,Ausland,2025,2025 Sep,417435,391467,7.32,6.63,317222
23,Gäste,Ausland,2025,2025 Okt,361438,343465,-13.41,5.23,318720
24,Gäste,Ausland,2025,2025 Nov,274828,284998,-23.96,-3.57,317872
25,Gäste,Ausland,2025,2025 Dez,376101,349070,36.85,7.74,320125
27,Gäste,Ausland,2024,2024 Jan,192505,173785,-40.46,10.77,289259
28,Gäste,Ausland,2024,2024 Feb,213717,185299,11.02,15.34,291627
29,Gäste,Ausland,2024,2024 Mär,250597,215994,17.26,16.02,294511
30,Gäste,Ausland,2024,2024 Apr,278097,270450,10.97,2.83,295148
31,Gäste,Ausland,2024,2024 Mai,305862,298132,9.98,2.59,295792
32,Gäste,Ausland,2024,2024 Jun,363753,306917,18.93,18.52,300528
33,Gäste,Ausland,2024,2024 Jul,413428,381284,13.66,8.43,303207
34,Gäste,Ausland,2024,2024 Aug,487126,348064,17.83,39.95,314796
35,Gäste,Ausland,2024,2024 Sep,391467,393372,-19.64,-0.48,314637
36,Gäste,Ausland,2024,2024 Okt,343465,307815,-12.26,11.58,317608
37,Gäste,Ausland,2024,2024 Nov,284998,247962,-17.02,14.94,320694
38,Gäste,Ausland,2024,2024 Dez,349070,323312,22.48,7.97,322840
40,Gäste,Ausland,2023,2023 Jan,173785,54752,-39.84,217.4,229451
41,Gäste,Ausland,2023,2023 Feb,185299,77480,6.63,139.16,238436
42,Gäste,Ausland,2023,2023 Mär,215994,114336,16.57,88.91,246908
43,Gäste,Ausland,2023,2023 Apr,270450,171106,25.21,58.06,255186
44,Gäste,Ausland,2023,2023 Mai,298132,218350,10.24,36.54,261835
45,Gäste,Ausland,2023,2023 Jun,306917,228079,2.95,34.57,268405
46,Gäste,Ausland,2023,2023 Jul,381284,321314,24.23,18.66,273402
47,Gäste,Ausland,2023,2023 Aug,348064,297326,-8.71,17.06,277630
48,Gäste,Ausland,2023,2023 Sep,393372,338906,13.02,16.07,282169
49,Gäste,Ausland,2023,2023 Okt,307815,284662,-21.75,8.13,284099
